Sport,Parameter,Model,R2,MSE
Hockey,normalizedcountry,ARIMA,-0.09039260363863466,0.0003361856121445769
Hockey,normalizedcountry,SARIMA,-0.3637242801537166,0.00042045817294615357
Hockey,normalizedcountry,SARIMAX,-0.09039260363863466,0.0003361856121445769
Hockey,CV,ARIMA,-0.17147324427399369,0.0089514755503866
Hockey,CV,SARIMA,-0.2713032705640006,0.00971429795704196
Hockey,CV,SARIMAX,-0.17147324427399369,0.0089514755503866
Ice Hockey,drug,ARIMA,1.0,0.0
Ice Hockey,drug,SARIMA,1.0,0.0
Ice Hockey,drug,SARIMAX,1.0,0.0
Ice Hockey,equity,ARIMA,1.0,0.0
Ice Hockey,equity,SARIMA,1.0,0.0
Ice Hockey,equity,SARIMAX,1.0,0.0
Ice Hockey,popularity,ARIMA,-0.2425158291546896,2.3885700333909574e-05
Ice Hockey,popularity,SARIMA,-0.3631331005791185,2.6204405603280483e-05
Ice Hockey,popularity,SARIMAX,-0.2425158291546896,2.3885700333909574e-05
Ice Hockey,normalizedcountry,ARIMA,-0.25306343156332445,0.0002466968630890295
Ice Hockey,normalizedcountry,SARIMA,-0.48709925876579785,0.00029277266656951644
Ice Hockey,normalizedcountry,SARIMAX,-0.25306343156332445,0.0002466968630890295
Ice Hockey,CV,ARIMA,-0.06248058971686565,0.009306249012789465
Ice Hockey,CV,SARIMA,-0.2130926690703514,0.010625457597269166
Ice Hockey,CV,SARIMAX,-0.06248058971686565,0.009306249012789465
Jeu De Paume,drug,ARIMA,1.0,0.0
Jeu De Paume,drug,SARIMA,1.0,0.0
Jeu De Paume,drug,SARIMAX,1.0,0.0
Judo,drug,ARIMA,-0.025252556611649934,0.21074635885906137
Judo,drug,SARIMA,-0.11895755579734346,0.2300079420250095
Judo,drug,SARIMAX,-0.025252556611649934,0.21074635885906137
Judo,equity,ARIMA,0.23871642393363646,0.03167580506542668
Judo,equity,SARIMA,0.13316180667519206,0.03606776567662308
Judo,equity,SARIMAX,0.23871642393363646,0.03167580506542668
Judo,popularity,ARIMA,-0.35248245415818236,6.801948948285308e-05
Judo,popularity,SARIMA,-0.6930310146397758,8.514646895446203e-05
Judo,popularity,SARIMAX,-0.35248245415818236,6.801948948285308e-05
Judo,normalizedcountry,ARIMA,-0.5546336006205017,0.03472230962719207
Judo,normalizedcountry,SARIMA,-0.8609712250056278,0.04156427537404931
Judo,normalizedcountry,SARIMAX,-0.5546336006205017,0.03472230962719207
Judo,CV,ARIMA,-0.13440366532130765,0.07819475866793127
Judo,CV,SARIMA,-0.06791809009000227,0.07361188956318626
Judo,CV,SARIMAX,-0.13440366532130765,0.07819475866793127
Lacrosse,drug,ARIMA,1.0,0.0
Lacrosse,drug,SARIMA,1.0,0.0
Lacrosse,drug,SARIMAX,1.0,0.0
Luge,drug,ARIMA,1.0,0.0
Luge,drug,SARIMA,1.0,0.0
Luge,drug,SARIMAX,1.0,0.0
Military Ski Patrol,drug,ARIMA,1.0,0.0
Military Ski Patrol,drug,SARIMA,1.0,0.0
Military Ski Patrol,drug,SARIMAX,1.0,0.0
Modern Pentathlon,drug,ARIMA,-0.022500184950925428,0.18632225592439083
Modern Pentathlon,drug,SARIMA,-0.06858634315297918,0.19472017808565398
Modern Pentathlon,drug,SARIMAX,-0.022500184950925428,0.18632225592439083
Modern Pentathlon,equity,ARIMA,0.6031746031746033,0.02
Modern Pentathlon,equity,SARIMA,0.6031746031746033,0.02
Modern Pentathlon,equity,SARIMAX,0.6031746031746033,0.02
Modern Pentathlon,popularity,ARIMA,0.3532916832556354,3.494023443676336e-06
Modern Pentathlon,popularity,SARIMA,0.3365478105702807,3.584486921856232e-06
Modern Pentathlon,popularity,SARIMAX,0.3532916832556354,3.494023443676336e-06
Modern Pentathlon,normalizedcountry,ARIMA,0.18615633853011748,0.0007109208997452415
Modern Pentathlon,normalizedcountry,SARIMA,0.07125909197534874,0.0008112876627565053
Modern Pentathlon,normalizedcountry,SARIMAX,0.18615633853011748,0.0007109208997452415
Modern Pentathlon,CV,ARIMA,-0.14441767798643124,0.08884907428641797
Modern Pentathlon,CV,SARIMA,-0.11339901543239339,0.08644088057660207
Modern Pentathlon,CV,SARIMAX,-0.14441767798643124,0.08884907428641797
Motorboating,drug,ARIMA,1.0,0.0
Motorboating,drug,SARIMA,1.0,0.0
Motorboating,drug,SARIMAX,1.0,0.0
Nordic Combined,drug,ARIMA,1.0,0.0
Nordic Combined,drug,SARIMA,1.0,0.0
Nordic Combined,drug,SARIMAX,1.0,0.0
Nordic Combined,equity,ARIMA,1.0,0.0
Nordic Combined,equity,SARIMA,1.0,0.0
Nordic Combined,equity,SARIMAX,1.0,0.0
Nordic Combined,popularity,ARIMA,-0.14751763709707033,4.160850048465736e-06
Nordic Combined,popularity,SARIMA,0.07100411436348097,3.3684994903901405e-06
Nordic Combined,popularity,SARIMAX,-0.14751763709707033,4.160850048465736e-06
Nordic Combined,normalizedcountry,ARIMA,-0.09683138155772864,8.335918499838742e-05
Nordic Combined,normalizedcountry,SARIMA,-0.2420335832543694,9.439455232733212e-05
Nordic Combined,normalizedcountry,SARIMAX,-0.09683138155772864,8.335918499838742e-05
Nordic Combined,CV,ARIMA,-0.21816201421018122,0.017052936164743914
Nordic Combined,CV,SARIMA,-0.5377509239850096,0.021526831437930393
Nordic Combined,CV,SARIMAX,-0.21816201421018122,0.017052936164743914
Polo,drug,ARIMA,1.0,0.0
Polo,drug,SARIMA,1.0,0.0
Polo,drug,SARIMAX,1.0,0.0
Racquets,drug,ARIMA,1.0,0.0
Racquets,drug,SARIMA,1.0,0.0
Racquets,drug,SARIMAX,1.0,0.0
Rhythmic Gymnastics,drug,ARIMA,1.0,0.0
Rhythmic Gymnastics,drug,SARIMA,1.0,0.0
Rhythmic Gymnastics,drug,SARIMAX,1.0,0.0
Roque,drug,ARIMA,1.0,0.0
Roque,drug,SARIMA,1.0,0.0
Roque,drug,SARIMAX,1.0,0.0
Rowing,drug,ARIMA,-0.023158312186842833,0.1182316271860352
Rowing,drug,SARIMA,-0.08161301681864952,0.12498639305459953
Rowing,drug,SARIMAX,-0.023158312186842833,0.1182316271860352
Rowing,equity,ARIMA,0.597772104715625,0.014579256582561784
Rowing,equity,SARIMA,0.5580147931761159,0.016020310404941628
Rowing,equity,SARIMAX,0.597772104715625,0.014579256582561784
Rowing,popularity,ARIMA,-0.09236545156497278,0.00023612711447018147
Rowing,popularity,SARIMA,-0.18027515659189985,0.00025512978885190463
Rowing,popularity,SARIMAX,-0.09236545156497278,0.00023612711447018147
Rowing,normalizedcountry,ARIMA,0.46559453494969905,0.003929456261055045
Rowing,normalizedcountry,SARIMA,0.4335321317144314,0.004165209484734065
Rowing,normalizedcountry,SARIMAX,0.46559453494969905,0.003929456261055045
Rowing,CV,ARIMA,0.13357430277509863,0.01575995225455578
