Sport,Parameter,Model,R2,MSE,Best Window Size
Ski Jumping,drug,Moving Average,1.0,0.0,2
Ski Jumping,equity,Moving Average,1.0,0.0,2
Ski Jumping,popularity,Moving Average,0.04862653429700803,4.673903385706333e-06,2
Ski Jumping,normalizedcountry,Moving Average,-0.23130070993914797,0.0001348958333333333,4
Ski Jumping,CV,Moving Average,-0.08487407362581023,0.014201183343505296,5
Snowboarding,drug,Moving Average,1.0,0.0,2
Softball,drug,Moving Average,1.0,0.0,2
Speed Skating,drug,Moving Average,1.0,0.0,2
Speed Skating,equity,Moving Average,0.3727677878563903,0.026349519291179572,2
Speed Skating,popularity,Moving Average,-0.2977041758271013,2.908948133192499e-05,5
Speed Skating,normalizedcountry,Moving Average,-0.1488490745135258,0.0005379166666666664,2
Speed Skating,CV,Moving Average,-0.11123226274050735,0.013743736343425992,8
Swimming,drug,Moving Average,-0.1451451451451451,0.23539094650205758,9
Swimming,equity,Moving Average,0.4188242543016276,0.014003578925455737,2
Swimming,popularity,Moving Average,0.7106023001651605,0.000248487220382033,2
Swimming,normalizedcountry,Moving Average,0.5249014819839836,0.03262767857142857,2
Swimming,CV,Moving Average,-0.057559288780423934,0.010367095913015625,8
Synchronized Swimming,drug,Moving Average,1.0,0.0,2
Synchronized Swimming,equity,Moving Average,1.0,0.0,2
Synchronized Swimming,popularity,Moving Average,-0.02403390716439957,3.111016145405205e-06,8
Table Tennis,drug,Moving Average,1.0,0.0,2
Table Tennis,equity,Moving Average,-7.812843279508819e-05,1.5124018478307175e-05,8
Table Tennis,popularity,Moving Average,-0.00564442215073413,1.8136893492837682e-06,8
Taekwondo,drug,Moving Average,1.0,0.0,2
Tennis,drug,Moving Average,1.0,0.0,2
Tennis,equity,Moving Average,0.3251157093660493,0.016656780785277246,2
Tennis,popularity,Moving Average,-0.0749322950388922,0.00011027049937775062,3
Tennis,normalizedcountry,Moving Average,0.4519703089182405,0.005578333333333333,2
Tennis,CV,Moving Average,-0.04927680543944679,0.0075332898733938124,3
Trampolining,drug,Moving Average,1.0,0.0,2
Triathlon,drug,Moving Average,-0.16219667943805893,0.14979423868312758,9
Tug-Of-War,drug,Moving Average,1.0,0.0,2
Volleyball,drug,Moving Average,-0.09756097560975552,0.19999999999999993,9
Volleyball,equity,Moving Average,-0.011945883598716955,0.0018461785316270676,2
Volleyball,popularity,Moving Average,-0.046775159799965715,2.6306760084138074e-05,4
Volleyball,normalizedcountry,Moving Average,0.2201186131386863,0.0001264423076923077,2
Volleyball,CV,Moving Average,-0.13228425977184344,0.0045775540097279365,7
Water Polo,drug,Moving Average,1.0,0.0,2
Water Polo,equity,Moving Average,0.5584446049112843,0.014966214005136319,2
Water Polo,popularity,Moving Average,-0.047867524134007855,1.8171749423597936e-05,5
Water Polo,normalizedcountry,Moving Average,-0.07617316589557199,0.00048173076923076934,6
Water Polo,CV,Moving Average,-0.15760507014233638,0.008456149515803505,5
Weightlifting,drug,Moving Average,0.03484219269102995,64.55833333333334,2
Weightlifting,equity,Moving Average,0.51318422714578,0.015955596378005452,2
Weightlifting,popularity,Moving Average,-0.2039909557182753,1.3585935790330833e-05,6
Weightlifting,normalizedcountry,Moving Average,0.4314923179632858,0.010150499999999998,2
Weightlifting,CV,Moving Average,-0.08265196826085974,0.020633846601902213,6
Wrestling,drug,Moving Average,-0.006049447659127072,2.125,2
Wrestling,equity,Moving Average,0.5272720448737674,0.010534921808587802,2
Wrestling,popularity,Moving Average,0.0808267954820504,3.0142998902875485e-05,3
Wrestling,normalizedcountry,Moving Average,0.3912047429398987,0.005766435185185185,2
Wrestling,CV,Moving Average,-0.15836264515999798,0.00835571695619271,9
