Sport,Parameter,Model,MSE,R2
Cross Country Skiing,CV,ARIMA,0.019146231449906757,-2.230377499078027
Cross Country Skiing,CV,SARIMAX,0.03778936125374706,-3.754259887403176
Cycling,equity,ARIMA,0.03932663180222478,-0.49720430885153255
Cycling,equity,SARIMAX,0.03932663180222478,-0.49720430885153255
Cycling,popularity,ARIMA,0.0001109889160294778,0.18301735823456944
Cycling,popularity,SARIMAX,0.0001109889160294778,0.18301735823456944
Diving,equity,ARIMA,0.18103691019870424,-12.810166670149291
Diving,equity,SARIMAX,0.18103691019870424,-12.810166670149291
Diving,popularity,ARIMA,1.302504265110699e-05,-0.36392589762502126
Diving,popularity,SARIMAX,9.29175500322898e-06,0.027007770894801997
Diving,CV,ARIMA,0.016803444895975933,-1.323815866701041
Diving,CV,SARIMAX,0.17231950532945953,-22.83075631845998
Fencing,CV,ARIMA,0.020490602344273363,-1.7949295621116685
Fencing,CV,SARIMAX,0.020490602344273363,-1.7949295621116685
Figure Skating,popularity,ARIMA,5.621198903322657e-06,-0.7824733150155965
Figure Skating,popularity,SARIMAX,5.621198903322657e-06,-0.7824733150155965
Gymnastics,drug,ARIMA,0.10344827586206896,-0.11538461538461564
Gymnastics,drug,SARIMAX,0.10344827586206896,-0.11538461538461564
Hockey,CV,ARIMA,0.014051717469084886,-0.8389382798928036
Hockey,CV,SARIMAX,0.014051717469084886,-0.8389382798928036
Ice Hockey,popularity,ARIMA,3.275671573415254e-05,-0.7074613934038418
Ice Hockey,popularity,SARIMAX,5.8217807295910936e-05,-2.02844572663224
Ice Hockey,normalizedcountry,ARIMA,0.0003557915175548377,-0.7123422330447684
Ice Hockey,normalizedcountry,SARIMAX,0.0003557915175548377,-0.7123422330447684
Ice Hockey,CV,ARIMA,0.017219124016770934,-1.0841399384138786
Ice Hockey,CV,SARIMAX,0.202957471337635,-23.648017166073984
Judo,CV,ARIMA,0.19788237977374606,-37.87309455938403
Judo,CV,SARIMAX,0.12857616717351902,-8.171136872961581
Modern Pentathlon,drug,ARIMA,0.2,-0.09756097560975618
Modern Pentathlon,drug,SARIMAX,0.2,-0.09756097560975618
Modern Pentathlon,popularity,ARIMA,4.93987892555407e-06,0.09819941748150074
Modern Pentathlon,popularity,SARIMAX,3.860500371050066e-06,0.2952455847821517
Modern Pentathlon,CV,ARIMA,0.08996351205441423,-0.1587721582435837
Modern Pentathlon,CV,SARIMAX,0.08996351205441423,-0.1587721582435837
Nordic Combined,CV,ARIMA,0.03624398016938995,-1.589057946362221
Nordic Combined,CV,SARIMAX,0.03624398016938995,-1.589057946362221
Polo,popularity,ARIMA,5.105707510938321e-05,-183.9297694531334
Polo,popularity,SARIMAX,5.105707510938321e-05,-183.9297694531334
Rhythmic Gymnastics,popularity,ARIMA,5.212423463501747e-06,-1.2900108985693404
Rhythmic Gymnastics,popularity,SARIMAX,2.7713448590270786e-06,-0.21755455505576937
Rowing,drug,ARIMA,0.14285714285714285,-0.16666666666666652
Rowing,drug,SARIMAX,0.14285714285714285,-0.16666666666666652
Rowing,popularity,ARIMA,0.0002849388148692326,-0.2926376885908164
Rowing,popularity,SARIMAX,0.0005487176828675417,-1.489282331002621
Sailing,drug,ARIMA,0.03333333333333333,-0.034482758620689946
Sailing,drug,SARIMAX,0.03333333333333333,-0.034482758620689946
Shooting,CV,ARIMA,0.09233796944534164,-7.921092905684866
Shooting,CV,SARIMAX,0.09233796944534164,-7.921092905684866
Ski Jumping,normalizedcountry,ARIMA,7.093365706509485e-05,-0.19877880440010287
Ski Jumping,normalizedcountry,SARIMAX,7.093365706509485e-05,-0.19877880440010287
Speed Skating,equity,ARIMA,0.11158070722417357,-1.7718616964774516
Speed Skating,equity,SARIMAX,0.11158070722417357,-1.7718616964774516
Swimming,drug,ARIMA,0.23333333333333334,-0.1351351351351351
Swimming,drug,SARIMAX,0.23333333333333334,-0.1351351351351351
Swimming,equity,ARIMA,0.15545212217919832,-6.610788744256115
Swimming,equity,SARIMAX,0.15545212217919832,-6.610788744256115
